rank,team,year,games,wins,losses,ties,shootout_wins,shootout_losses,win_loss_percentage,goals_scored,goals_against,goal_differential
3,Boston Bruins,1942,5,2,3,0,1,0,0.4,10,16,-6
4,New York Rangers,1942,6,2,4,0,0,0,0.333,12,13,-1
5,Chicago Black Hawks,1942,3,1,2,0,0,1,0.333,7,5,2
6,Montreal Canadiens,1942,3,1,2,0,0,0,0.333,8,8,0
1,Boston Bruins,1941,11,8,3,0,0,1,0.727,27,23,4
2,Detroit Red Wings,1941,9,4,5,0,2,0,0.444,17,20,-3
3,Toronto Maple Leafs,1941,7,3,4,0,1,0,0.429,17,15,2
4,Chicago Black Hawks,1941,5,2,3,0,0,2,0.4,10,12,-2
5,Montreal Canadiens,1941,3,1,2,0,1,0,0.333,7,8,-1
6,New York Rangers,1941,3,1,2,0,0,1,0.333,6,6,0
1,New York Rangers,1940,12,8,4,0,3,0,0.667,29,20,9
2,Toronto Maple Leafs,1940,10,6,4,0,1,3,0.6,21,19,2
3,Detroit Red Wings,1940,5,2,3,0,1,0,0.4,11,12,-1
4,Boston Bruins,1940,6,2,4,0,0,0,0.333,9,15,-6
5,New York Americans,1940,3,1,2,0,0,1,0.333,7,9,-2
6,Chicago Black Hawks,1940,2,0,2,0,0,1,0,3,5,-2
1,Boston Bruins,1939,12,8,4,0,3,2,0.667,26,18,8
2,Toronto Maple Leafs,1939,10,5,5,0,2,0,0.5,22,20,2
3,Detroit Red Wings,1939,6,3,3,0,1,1,0.5,16,15,1
4,New York Rangers,1939,7,3,4,0,1,3,0.429,12,14,-2
5,Montreal Canadiens,1939,3,1,2,0,0,1,0.333,5,8,-3
6,New York Americans,1939,2,0,2,0,0,0,0,0,6,-6
1,Chicago Black Hawks,1938,10,7,3,0,2,0,0.7,26,21,5
2,Toronto Maple Leafs,1938,7,4,3,0,2,0,0.571,14,13,1
3,New York Americans,1938,6,3,3,0,2,1,0.5,13,12,1
4,Montreal Canadiens,1938,3,1,2,0,0,1,0.333,8,11,-3
5,New York Rangers,1938,3,1,2,0,0,2,0.333,7,8,-1
6,Boston Bruins,1938,3,0,3,0,0,2,0,3,6,-3
1,New York Rangers,1937,9,6,3,0,1,0,0.667,18,10,8
2,Detroit Red Wings,1937,10,6,4,0,1,0,0.6,22,16,6
3,Montreal Canadiens,1937,5,2,3,0,0,1,0.4,8,13,-5
4,Montreal Maroons,1937,5,2,3,0,0,0,0.4,8,11,-3
5,Boston Bruins,1937,3,1,2,0,0,0,0.333,6,8,-2
6,Toronto Maple Leafs,1937,2,0,2,0,0,1,0,1,5,-4
1,Detroit Red Wings,1936,7,6,1,0,1,1,0.857,24,12,12
2,Toronto Maple Leafs,1936,9,4,5,0,1,0,0.444,25,27,-2
3,New York Americans,1936,5,2,3,0,0,0,0.4,10,11,-1
4,Boston Bruins,1936,2,1,1,0,0,0,0.5,6,8,-2
5,Chicago Black Hawks,1936,2,1,1,0,0,0,0.5,5,7,-2
6,Montreal Maroons,1936,3,0,3,0,0,1,0,1,6,-5
1,Montreal Maroons,1935,7,5,0,2,2,0,0.857,16,8,8
2,Toronto Maple Leafs,1935,7,3,4,0,1,2,0.429,11,12,-1
3,New York Rangers,1935,4,1,1,2,0,0,0.5,10,10,0
4,Boston Bruins,1935,4,1,3,0,1,1,0.25,2,7,-5
5,Chicago Black Hawks,1935,2,0,1,1,0,1,0.25,0,1,-1
6,Montreal Canadiens,1935,2,0,1,1,0,0,0.25,5,6,-1
1,Chicago Black Hawks,1934,8,6,1,1,2,0,0.813,19,12,7
2,Detroit Red Wings,1934,9,4,5,0,1,2,0.444,18,21,-3
3,Toronto Maple Leafs,1934,5,2,3,0,0,1,0.4,12,11,1
4,Montreal Maroons,1934,4,1,2,1,0,0,0.375,4,7,-3
5,New York Rangers,1934,2,0,1,1,0,0,0.25,1,2,-1
6,Montreal Canadiens,1934,2,0,1,1,0,0,0.25,3,4,-1
1,New York Rangers,1933,8,6,1,1,1,0,0.813,25,13,12
2,Toronto Maple Leafs,1933,9,4,5,0,2,3,0.444,14,18,-4
3,Detroit Red Wings,1933,4,2,2,0,0,0,0.5,8,8,0
4,Boston Bruins,1933,5,2,3,0,2,2,0.4,7,9,-2
5,Montreal Canadiens,1933,2,0,1,1,0,0,0.25,5,8,-3
6,Montreal Maroons,1933,2,0,2,0,0,0,0,2,5,-3
1,Toronto Maple Leafs,1932,7,5,1,1,1,0,0.786,28,15,13
2,New York Rangers,1932,7,3,4,0,1,0,0.429,23,27,-4
3,Chicago Black Hawks,1932,2,1,1,0,0,0,0.5,2,6,-4
4,Montreal Maroons,1932,4,1,1,2,0,1,0.5,6,5,1
5,Montreal Canadiens,1932,4,1,3,0,0,1,0.25,9,13,-4
6,Detroit Falcons,1932,2,0,1,1,0,0,0.25,1,3,-2
1,Montreal Canadiens,1931,10,6,4,0,2,3,0.6,24,21,3
2,Chicago Black Hawks,1931,9,5,3,1,3,0,0.611,15,14,1
3,New York Rangers,1931,4,2,2,0,0,0,0.5,8,4,4
4,Boston Bruins,1931,5,2,3,0,1,2,0.4,13,13,0
5,Toronto Maple Leafs,1931,2,0,1,1,0,1,0.25,3,4,-1
6,Montreal Maroons,1931,2,0,2,0,0,0,0,1,8,-7
1,Montreal Canadiens,1930,6,5,0,1,1,0,0.917,14,6,8
2,Boston Bruins,1930,6,3,3,0,1,1,0.5,14,12,2
3,New York Rangers,1930,4,1,2,1,0,1,0.375,7,7,0
4,Montreal Maroons,1930,4,1,3,0,1,1,0.25,5,11,-6
5,Ottawa Senators,1930,2,0,1,1,0,0,0.25,3,6,-3
6,Chicago Black Hawks,1930,2,0,1,1,0,0,0.25,2,3,-1
1,Boston Bruins,1929,5,5,0,0,0,0,1,9,3,6
2,New York Rangers,1929,6,3,2,1,2,0,0.583,5,5,0
3,Toronto Maple Leafs,1929,4,2,2,0,0,1,0.5,8,5,3
4,New York Americans,1929,2,0,1,1,0,1,0.25,0,1,-1
5,Detroit Cougars,1929,2,0,2,0,0,0,0,2,7,-5
6,Montreal Canadiens,1929,3,0,3,0,0,0,0,2,5,-3
1,New York Rangers,1928,9,5,3,1,1,0,0.611,16,12,4
2,Montreal Maroons,1928,9,5,3,1,1,1,0.611,12,8,4
3,Pittsburgh Pirates,1928,2,1,1,0,0,0,0.5,4,6,-2
4,Montreal Canadiens,1928,2,0,1,1,0,1,0.25,2,3,-1
5,Boston Bruins,1928,2,0,1,1,0,0,0.25,2,5,-3
6,Ottawa Senators,1928,2,0,2,0,0,0,0,1,3,-2
1,Ottawa Senators,1927,6,3,0,3,0,0,0.75,12,4,8
2,Boston Bruins,1927,8,2,2,4,0,0,0.5,16,13,3
3,Montreal Canadiens,1927,4,1,1,2,1,0,0.5,3,6,-3
4,Chicago Black Hawks,1927,2,0,1,1,0,0,0.25,5,10,-5
5,Montreal Maroons,1927,2,0,1,1,0,1,0.25,1,2,-1
6,New York Rangers,1927,2,0,1,1,0,0,0.25,1,3,-2
1,Montreal Maroons,1926,4,2,0,2,0,0,0.75,8,5,3
2,Pittsburgh Pirates,1926,2,0,1,1,0,0,0.25,4,6,-2
3,Ottawa Senators,1926,2,0,1,1,0,0,0.25,1,2,-1
1,Montreal Canadiens,1925,2,2,0,0,0,0,1,5,2,3
2,Toronto St. Patricks,1925,2,0,2,0,0,0,0,2,5,-3
1,Montreal Canadiens,1924,2,2,0,0,0,0,1,5,2,3
2,Ottawa Senators,1924,2,0,2,0,0,0,0,2,5,-3
1,Montreal Canadiens,1923,2,1,1,0,0,0,0.5,2,3,-1
2,Ottawa Senators,1923,2,1,1,0,0,0,0.5,3,2,1
1,Toronto St. Patricks,1922,2,1,0,1,0,0,0.75,5,4,1
2,Ottawa Senators,1922,2,0,1,1,0,0,0.25,4,5,-1
1,Ottawa Senators,1921,2,2,0,0,0,0,1,7,0,7
2,Toronto St. Patricks,1921,2,0,2,0,0,0,0,0,7,-7
1,Montreal Canadiens,1919,5,4,1,0,0,0,0.8,26,18,8
2,Ottawa Senators,1919,5,1,4,0,0,0,0.2,18,26,-8
1,Montreal Canadiens,1918,2,1,1,0,0,0,0.5,7,10,-3
2,Toronto Arenas,1918,2,1,1,0,0,0,0.5,10,7,3
