Date,Open,High,Low,Close,Volume,Currency
2001-09-28,4.647,4.647,4.647,4.647,0,USD
2001-10-01,4.639,4.639,4.639,4.639,0,USD
2001-10-02,4.622,4.622,4.622,4.622,0,USD
2001-10-03,4.607,4.607,4.607,4.607,0,USD
2001-10-04,4.637,4.637,4.637,4.637,0,USD
2001-10-05,4.67,4.67,4.67,4.665,30,USD
2001-10-08,4.69,4.69,4.69,4.69,1,USD
2001-10-09,4.53,4.53,4.53,4.53,0,USD
2001-10-10,4.46,4.46,4.46,4.418,20,USD
2001-10-11,4.403,4.403,4.403,4.403,0,USD
2001-10-12,4.448,4.448,4.448,4.448,0,USD
2001-10-15,4.371,4.371,4.371,4.371,0,USD
2001-10-16,4.323,4.323,4.323,4.323,0,USD
2001-10-17,4.348,4.348,4.348,4.348,0,USD
2001-10-18,4.29,4.29,4.29,4.243,5,USD
2001-10-19,4.258,4.258,4.258,4.258,4,USD
2001-10-22,4.15,4.19,4.15,4.22,7,USD
2001-10-23,4.22,4.22,4.22,4.228,1,USD
2001-10-24,4.203,4.203,4.203,4.203,3,USD
2001-10-25,4.208,4.208,4.208,4.208,2,USD
2001-10-26,4.203,4.203,4.203,4.203,36,USD
2001-10-29,4.231,4.231,4.231,4.231,0,USD
2001-10-30,4.252,4.252,4.252,4.252,0,USD
2001-10-31,4.22,4.22,4.22,4.214,4,USD
2001-11-01,4.196,4.196,4.196,4.196,0,USD
2001-11-02,4.14,4.14,4.13,4.099,20,USD
2001-11-05,4.087,4.087,4.087,4.087,0,USD
2001-11-06,4.09,4.09,4.09,4.108,4,USD
2001-11-07,4.118,4.118,4.118,4.118,0,USD
2001-11-08,4.08,4.08,4.08,4.068,30,USD
2001-11-09,4.07,4.07,4.07,4.07,0,USD
2001-11-12,4.108,4.108,4.108,4.108,0,USD
2001-11-13,4.135,4.135,4.135,4.135,107,USD
2001-11-14,4.138,4.138,4.138,4.138,0,USD
2001-11-15,4.106,4.106,4.106,4.106,100,USD
2001-11-16,4.093,4.093,4.093,4.093,0,USD
2001-11-19,4.056,4.056,4.056,4.056,0,USD
2001-11-20,4.048,4.048,4.048,4.048,175,USD
2001-11-21,4.033,4.033,4.033,4.033,0,USD
2001-11-26,4.026,4.026,4.026,4.026,0,USD
2001-11-27,4.038,4.038,4.038,4.038,0,USD
2001-11-28,4.113,4.113,4.113,4.113,0,USD
2001-11-29,4.115,4.16,4.05,4.063,8751,USD
2001-11-30,4.065,4.16,4.065,4.128,1397,USD
2001-12-03,4.135,4.205,4.125,4.2,303,USD
2001-12-04,4.145,4.18,4.135,4.128,152,USD
2001-12-05,4.09,4.19,4.08,4.176,1,USD
2001-12-06,4.17,4.215,4.17,4.217,94,USD
2001-12-07,4.23,4.26,4.22,4.25,89,USD
2001-12-10,4.22,4.25,4.2,4.225,48,USD
2001-12-11,4.22,4.255,4.22,4.257,80,USD
2001-12-12,4.25,4.28,4.25,4.245,233,USD
2001-12-13,4.25,4.25,4.235,4.265,168,USD
2001-12-14,4.35,4.35,4.35,4.357,1,USD
2001-12-17,4.34,4.36,4.34,4.36,26,USD
2001-12-18,4.375,4.43,4.375,4.415,8,USD
2001-12-19,4.41,4.41,4.325,4.303,22,USD
2001-12-20,4.335,4.4,4.335,4.393,11,USD
2001-12-21,4.39,4.48,4.39,4.465,1,USD
2001-12-26,4.49,4.56,4.475,4.536,26,USD
2001-12-27,4.48,4.52,4.48,4.461,18,USD
2001-12-28,4.485,4.485,4.485,4.489,8,USD
2001-12-31,4.5,4.5,4.5,4.579,4,USD
2002-01-02,4.526,4.526,4.526,4.526,9,USD
2002-01-03,4.599,4.599,4.599,4.599,22,USD
2002-01-04,4.58,4.58,4.58,4.642,28,USD
2002-01-07,4.6,4.63,4.6,4.66,10,USD
2002-01-08,4.62,4.63,4.62,4.633,8,USD
2002-01-09,4.703,4.703,4.703,4.703,0,USD
2002-01-10,4.69,4.72,4.69,4.693,104,USD
2002-01-11,4.66,4.66,4.66,4.691,3,USD
2002-01-14,4.58,4.59,4.575,4.508,47,USD
2002-01-15,4.548,4.548,4.548,4.548,0,USD
2002-01-16,4.555,4.555,4.555,4.555,0,USD
2002-01-17,4.438,4.438,4.438,4.438,0,USD
2002-01-18,4.338,4.338,4.338,4.338,0,USD
2002-01-22,4.281,4.281,4.281,4.281,0,USD
2002-01-23,4.253,4.253,4.253,4.253,0,USD
2002-01-24,4.266,4.266,4.266,4.266,0,USD
2002-01-25,4.298,4.298,4.298,4.298,0,USD
2002-01-28,4.243,4.243,4.243,4.243,0,USD
2002-01-29,4.288,4.288,4.288,4.288,0,USD
2002-01-30,4.286,4.286,4.286,4.286,0,USD
2002-01-31,4.216,4.216,4.216,4.216,0,USD
2002-02-01,4.306,4.306,4.306,4.306,0,USD
2002-02-04,4.288,4.288,4.288,4.288,0,USD
2002-02-05,4.28,4.38,4.28,4.393,252,USD
2002-02-06,4.361,4.361,4.361,4.361,0,USD
2002-02-07,4.342,4.342,4.342,4.342,65,USD
2002-02-08,4.452,4.452,4.452,4.452,0,USD
2002-02-11,4.412,4.412,4.412,4.412,0,USD
2002-02-12,4.482,4.482,4.482,4.482,2,USD
2002-02-13,4.502,4.502,4.502,4.502,0,USD
2002-02-14,4.527,4.527,4.527,4.527,0,USD
2002-02-15,4.535,4.535,4.535,4.535,0,USD
2002-02-19,4.467,4.467,4.467,4.467,0,USD
2002-02-20,4.397,4.397,4.397,4.397,0,USD
2002-02-21,4.417,4.417,4.417,4.417,0,USD
2002-02-22,4.395,4.395,4.395,4.395,0,USD
2002-02-25,4.365,4.365,4.365,4.365,0,USD
2002-02-26,4.42,4.42,4.42,4.42,0,USD
2002-02-27,4.43,4.47,4.41,4.424,8992,USD
2002-02-28,4.42,4.51,4.395,4.497,1268,USD
2002-03-01,4.485,4.575,4.46,4.549,215,USD
2002-03-04,4.53,4.63,4.53,4.587,214,USD
2002-03-05,4.565,4.63,4.535,4.541,103,USD
2002-03-06,4.55,4.55,4.5,4.516,20,USD
2002-03-07,4.51,4.51,4.46,4.466,36,USD
2002-03-08,4.47,4.55,4.46,4.492,50,USD
2002-03-11,4.525,4.54,4.49,4.472,12,USD
2002-03-12,4.49,4.51,4.48,4.485,12,USD
2002-03-13,4.51,4.525,4.5,4.517,114,USD
2002-03-14,4.54,4.54,4.485,4.489,28,USD
2002-03-15,4.455,4.495,4.455,4.482,22,USD
2002-03-18,4.52,4.52,4.5,4.492,54,USD
2002-03-19,4.49,4.55,4.49,4.512,12,USD
2002-03-20,4.525,4.54,4.5,4.522,200,USD
2002-03-21,4.53,4.53,4.51,4.499,9,USD
2002-03-22,4.52,4.53,4.5,4.531,16,USD
